wavenos,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
939,0.000582211,0.001607493,-0.002329954,0.021280593,0.017682966,-0.002656667,-0.000357727,0.007557383,0.016924331,0.001975243,0.010333334,-0.003633861,0.026154189,-0.001049624,0.02109867,0.035628069,-0.007778771,-0.003308293,-0.0707458,0,0.000756413,0.018496471,0.066562948,-0.000173467,-0.045009268,0.023766134,0.012219122,-0.000991198,-0.00686732,0.015900045,0.012253788,0.015303455,-0.256918276
940,0.000515689,0.000797418,-0.003661316,0.022798323,0.01704463,-0.002192432,0.00080938,0.007295494,0.017547943,0.000841202,0.007396238,-0.002546998,0.023242127,-6.23E-05,0.022525035,0.033850641,-0.003281888,-0.005290261,-0.064644975,0,0.00177059,0.018699135,0.069314876,-0.00035252,-0.053945344,0.018066247,0.013349873,-0.001065604,-0.005406777,0.017228047,0.013545055,0.014870545,-0.185502777
941,0.000481575,0.000101246,-0.004791041,0.024727485,0.016611429,-0.001976395,0.001779637,0.006214053,0.01811515,-0.000638996,0.004746912,-0.001383415,0.020581429,0.000721588,0.024016245,0.031389964,0.001251532,-0.006474511,-0.053898473,0,0.002724719,0.018903677,0.072002621,-0.000801439,-0.060721672,0.013029889,0.014644364,-0.00107128,-0.004189894,0.018768148,0.015078427,0.014242158,-0.122358735
942,0.000498475,-0.000450875,-0.005595465,0.026994081,0.016432355,-0.001771879,0.002521316,0.004277185,0.018528627,-0.002340929,0.002387431,-0.000126833,0.018543157,0.000962255,0.02565012,0.028174588,0.006087489,-0.006851214,-0.039874001,0,0.003672921,0.019001787,0.07464848,-0.001720257,-0.064655632,0.008720198,0.016055377,-0.001042774,-0.003195113,0.020518344,0.017050926,0.013353651,-0.068528198
943,0.000567519,-0.000852081,-0.006045173,0.029341016,0.016542207,-0.001481939,0.003045899,0.001743385,0.01880698,-0.004078148,0.000341933,0.001170822,0.017398082,0.000898473,0.027382064,0.024501654,0.010975577,-0.00660898,-0.02507909,0,0.004621331,0.018989145,0.077224099,-0.003003991,-0.066063585,0.005158771,0.01751413,-0.001021814,-0.002339368,0.022434034,0.019334238,0.012290442,-0.025201832
944,0.000657314,-0.001086559,-0.006062782,0.031760343,0.016930969,-0.0011128,0.003240842,-0.001129959,0.018707255,-0.005696643,-0.001523774,0.002506677,0.01628718,0.000732616,0.029259918,0.020482863,0.016465658,-0.005922051,-0.011461506,0,0.005628931,0.018604358,0.07961488,-0.004587278,-0.064301123,0.002259735,0.018799195,-0.001026989,-0.001570324,0.024215515,0.022276121,0.010977919,0.009221612
945,0.000743684,-0.001166958,-0.005710188,0.034052641,0.01755229,-0.00076035,0.003129659,-0.003839447,0.01823638,-0.007022422,-0.003227393,0.00375567,0.015799597,0.000443362,0.031172928,0.016575112,0.022205985,-0.005061535,-0.001121987,0,0.006656169,0.017831101,0.081731509,-0.00623518,-0.0598282,1.75E-05,0.019791769,-0.00106545,-0.000886483,0.025697026,0.025652498,0.009537535,0.035245798
946,0.000852097,-0.001055651,-0.005028108,0.036320133,0.018345098,-0.000485558,0.002674223,-0.005982442,0.017186399,-0.007840133,-0.00477012,0.005005501,0.016151531,0.000154319,0.033278264,0.013086254,0.029001892,-0.004214145,0.004928472,0,0.007743387,0.016538016,0.083804872,-0.008197661,-0.052487993,-0.001580297,0.020227628,-0.001134517,-0.000261895,0.026544009,0.030075412,0.008035666,0.053416139
947,0.000970328,-0.000822852,-0.00417444,0.038362554,0.019148374,-0.000295513,0.00199176,-0.007285893,0.015647061,-0.008123794,-0.006129331,0.006200311,0.016768737,-0.000233569,0.035322207,0.010299722,0.03625119,-0.003561761,0.006461737,0,0.008797363,0.014840945,0.085602803,-0.010258113,-0.043491028,-0.002642426,0.020060822,-0.001221111,0.000287514,0.026618968,0.035016126,0.006594271,0.064965446
948,0.001134757,-0.000441601,-0.003193118,0.040175708,0.019919245,-0.00014601,0.001141266,-0.007636435,0.013409488,-0.007711241,-0.00720462,0.007336164,0.017522999,-0.000791442,0.037557964,0.00834699,0.045206188,-0.003132604,0.004522022,0,0.00986591,0.012673748,0.087340473,-0.011767402,-0.033118291,-0.003202148,0.019053268,-0.001299882,0.000815004,0.02566653,0.041429915,0.005259791,0.070487459
949,0.001338123,5.08E-05,-0.002231555,0.041647758,0.02056003,-5.47E-05,0.000234165,-0.007151525,0.010686328,-0.006721496,-0.007854291,0.008308797,0.01834466,-0.001399244,0.039849455,0.007319799,0.055203863,-0.002945078,0.000385547,0,0.010871244,0.010295027,0.088958606,-0.012211153,-0.022731916,-0.003314895,0.017305427,-0.001360519,0.001299489,0.023773479,0.048903505,0.004152603,0.07073138
950,0.001577061,0.000710684,-0.001267986,0.04295436,0.021135759,-3.17E-05,-0.000748841,-0.005964018,0.007422547,-0.005059038,-0.007857691,0.009385494,0.019002612,-0.001947565,0.042464475,0.007305878,0.068003738,-0.002978238,-0.004194351,0,0.011840722,0.007765712,0.090754209,-0.011705942,-0.012007169,-0.002959618,0.014713713,-0.001342341,0.001806996,0.020839293,0.058419434,0.003353613,0.065844704
951,0.001847033,0.001505862,-0.000414375,0.044059374,0.021689524,-4.58E-05,-0.001651999,-0.004395942,0.004097555,-0.002950611,-0.007153056,0.010654213,0.019812313,-0.001937865,0.045312915,0.008301685,0.082942714,-0.003177815,-0.007528678,0,0.012694699,0.005498066,0.092838145,-0.010420926,-0.002309235,-0.002158642,0.011657827,-0.001224501,0.002307832,0.017374257,0.069323919,0.00301901,0.056867311
952,0.002154147,0.002504519,0.000383518,0.044999112,0.022254991,-4.28E-05,-0.002431106,-0.002631493,0.000766381,-0.000313162,-0.005664082,0.012283085,0.020545355,-0.000688724,0.048354528,0.010218919,0.101667925,-0.003252305,-0.00833317,0,0.013339677,0.003582159,0.095224879,-0.009000512,0.006113793,-0.000970961,0.008182705,-0.001002367,0.002843926,0.013399243,0.081666337,0.00327453,0.04382821
953,0.002448834,0.003656445,0.001061327,0.045635463,0.022799592,-3.80E-05,-0.002934325,-0.00098271,-0.002030505,0.0025113,-0.003627641,0.014108715,0.020987627,0.001779142,0.051153098,0.012709238,0.122596699,-0.00300833,-0.005946764,0,0.013658986,0.002321315,0.09756909,-0.00765403,0.012098162,0.000395137,0.004864806,-0.000697948,0.003358057,0.009606627,0.093711375,0.004121008,0.028941252
954,0.002724411,0.005089063,0.001705806,0.046119402,0.023523183,-3.33E-05,-0.003181246,0.000556913,-0.004335444,0.005647493,-0.001089929,0.016114539,0.021151432,0.004731247,0.053873713,0.01563047,0.147932621,-0.002351963,2.70E-06,0,0.013525113,0.001690035,0.100487026,-0.006284594,0.016127254,0.001790453,0.00185559,-0.000377718,0.003905182,0.006074357,0.10530562,0.005705835,0.012501822
955,0.00292611,0.006719514,0.002281902,0.046446627,0.024402192,-2.93E-05,-0.003158562,0.001858247,-0.005859396,0.008801222,0.001565479,0.018157525,0.021041619,0.007573829,0.056011201,0.018510889,0.175980073,-0.00132519,0.008598208,0,0.012781797,0.001747652,0.103696304,-0.005375708,0.017962329,0.002897171,-0.000338314,-0.000120253,0.004438052,0.003230358,0.114208112,0.007912225,-0.003289944
956,0.003026946,0.00851021,0.002851976,0.04677953,0.025492225,-2.54E-05,-0.002946807,0.003054593,-0.006724605,0.012180503,0.004179775,0.020365868,0.020496496,0.010065495,0.057455405,0.021215096,0.20891672,-9.00E-05,0.019234726,0,0.0111863,0.002339171,0.107328319,-0.005346711,0.01835128,0.00361301,-0.001598731,6.75E-05,0.005017329,0.000979547,0.119249681,0.010738825,-0.018150067
957,0.002998537,0.010328907,0.003349595,0.047130883,0.026646521,-2.15E-05,-0.002579276,0.004099626,-0.006860496,0.01553964,0.006333323,0.022418641,0.01948432,0.012121265,0.057771979,0.023350351,0.244539163,0.001236765,0.029930103,0,0.008646294,0.003331863,0.110931213,-0.006039314,0.017229869,0.003772701,-0.0015952,0.000139226,0.005617953,-0.000472987,0.118125149,0.01386402,-0.030125741
958,0.002828938,0.012212269,0.003796035,0.047535324,0.027743409,-2.98E-05,-0.002108881,0.005164201,-0.006467646,0.01898764,0.007889654,0.024199446,0.017873737,0.014365073,0.056781441,0.024990156,0.283524019,0.00264315,0.039131267,0,0.005029083,0.004489822,0.11418272,-0.007208563,0.015076766,0.003409121,-0.000355484,0.000129799,0.006294104,-0.001340679,0.109557261,0.017142477,-0.039127815
959,0.00254322,0.014101081,0.004115084,0.048100004,0.02849439,-2.70E-05,-0.001619049,0.00626573,-0.005549376,0.022240618,0.008591967,0.02558741,0.015696879,0.01649005,0.054498842,0.026133846,0.321878844,0.003989369,0.044185162,0,0.000668516,0.005624827,0.11672998,-0.008242733,0.012404745,0.002753122,0.002229532,9.14E-05,0.007050886,-0.001421839,0.093124416,0.019971411,-0.043583343
960,0.00219375,0.016072658,0.00433446,0.048936225,0.028817506,4.14E-05,-0.001208065,0.00756883,-0.004339216,0.025427983,0.008577816,0.02674307,0.013081278,0.017939839,0.051254056,0.02710535,0.359067094,0.005331753,0.043512811,0,-0.004167579,0.006562836,0.118718111,-0.008701649,0.010140938,0.002096701,0.005907743,6.84E-05,0.00796083,-0.000938325,0.06994603,0.022122758,-0.044242334
961,0.001815041,0.0179595,0.004426977,0.05002827,0.028384873,0.000164648,-0.000975489,0.009130951,-0.002861481,0.028314721,0.007840957,0.027712633,0.010105831,0.019201527,0.047048789,0.028020197,0.389477901,0.006675899,0.035239361,0,-0.00884833,0.007155929,0.119472445,-0.00858948,0.008642752,0.001951737,0.010551259,0.000146314,0.009015384,0.000128693,0.041763334,0.022794131,-0.040875358
962,0.001418485,0.019671084,0.004432886,0.051433394,0.027111549,0.000284408,-0.000999352,0.011068214,-0.001215677,0.030987692,0.006607259,0.02866127,0.006780472,0.020581562,0.042020722,0.029147737,0.412190635,0.00777621,0.018705267,0,-0.013054087,0.007351134,0.118998867,-0.007939708,0.008074672,0.002771001,0.015978278,0.000387455,0.010308158,0.001558332,0.010379931,0.02143918,-0.034768862
963,0.001073238,0.021129312,0.004377516,0.053116947,0.02480694,0.000404166,-0.001379106,0.013661721,0.000573639,0.033287862,0.005045297,0.029499561,0.003271713,0.022292879,0.036038293,0.030527601,0.4214452,0.009200224,-0.005795528,0,-0.016155391,0.007082832,0.116985917,-0.006757366,0.008727266,0.005175069,0.022232429,0.000784848,0.01174449,0.003261426,-0.021274548,0.01746695,-0.026686424
964,0.000840624,0.022392888,0.004314024,0.055032256,0.021536475,0.000538053,-0.002137003,0.017055474,0.002455675,0.035315927,0.003428675,0.030296764,-0.000295193,0.024463106,0.029158393,0.03222474,0.416937568,0.011554323,-0.036089688,0,-0.01798693,0.006417575,0.113689187,-0.005196063,0.010685515,0.009414636,0.029213026,0.001310045,0.013305217,0.005047552,-0.051054861,0.010826029,-0.018109329
965,0.000754109,0.023282769,0.004272977,0.057095914,0.017242674,0.000700485,-0.003318737,0.021767635,0.004372265,0.037031439,0.001971047,0.031024245,-0.003653361,0.026534187,0.021183978,0.03407608,0.394078302,0.015083694,-0.068740063,0,-0.018197416,0.005357431,0.109036441,-0.003397718,0.014104493,0.015952195,0.037170909,0.001876817,0.014623313,0.006796987,-0.075806929,0.002066971,-0.010186119
966,0.000781147,0.02380727,0.004278719,0.059061893,0.012323249,0.000888622,-0.004805414,0.027836106,0.006149726,0.038443507,0.00086693,0.031625599,-0.006585257,0.028638716,0.012334187,0.035865973,0.355244463,0.019795657,-0.099210225,0,-0.017004933,0.004059351,0.103310614,-0.001598066,0.018561653,0.024395852,0.045804535,0.002393139,0.015436225,0.00837159,-0.094028184,-0.007529674,-0.004054064
967,0.000902033,0.023593622,0.004342383,0.060995957,0.006941284,0.000997785,-0.006513148,0.035657975,0.007996428,0.039615608,0.000174308,0.032044634,-0.008845039,0.030792047,0.002421293,0.03758287,0.299639797,0.024735422,-0.123543127,0,-0.014590721,0.002582969,0.096726238,6.31E-05,0.023619666,0.034892331,0.055724526,0.002818264,0.015335061,0.009726138,-0.104673742,-0.016663184,-0.000295064
968,0.001074547,0.022678903,0.004469565,0.062911064,0.00144848,0.000961254,-0.008292935,0.045510206,0.010083825,0.040622669,-0.000150853,0.032348683,-0.010417795,0.032440093,-0.008316593,0.039287808,0.233345078,0.028784072,-0.139722985,0,-0.011532597,0.00106518,0.089898177,0.001469716,0.028743405,0.046967277,0.067214205,0.003145683,0.014153794,0.010879645,-0.10903902,-0.024074265,0.001073003
